"Step","default vector 32c4 beta 0.9999 - train/lm_loss","default vector 32c4 beta 0.9999 - train/lm_loss__MIN","default vector 32c4 beta 0.9999 - train/lm_loss__MAX","default vector 32c1 beta 0.65 - train/lm_loss","default vector 32c1 beta 0.65 - train/lm_loss__MIN","default vector 32c1 beta 0.65 - train/lm_loss__MAX","default vector 32c2 beta 0.95 - train/lm_loss","default vector 32c2 beta 0.95 - train/lm_loss__MIN","default vector 32c2 beta 0.95 - train/lm_loss__MAX","default vector 8c1 ema zero init - train/lm_loss","default vector 8c1 ema zero init - train/lm_loss__MIN","default vector 8c1 ema zero init - train/lm_loss__MAX","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss__MIN","default vector 8c2 ema expertwise beta 0.9 - train/lm_loss__MAX","baseline 32c4 - train/lm_loss","baseline 32c4 - train/lm_loss__MIN","baseline 32c4 - train/lm_loss__MAX","baseline 32c1 - train/lm_loss","baseline 32c1 - train/lm_loss__MIN","baseline 32c1 - train/lm_loss__MAX","baseline 8c2 - train/lm_loss","baseline 8c2 - train/lm_loss__MIN","baseline 8c2 - train/lm_loss__MAX","baseline 8c1 - train/lm_loss","baseline 8c1 - train/lm_loss__MIN","baseline 8c1 - train/lm_loss__MAX","baseline 32c2 - train/lm_loss","baseline 32c2 - train/lm_loss__MIN","baseline 32c2 - train/lm_loss__MAX"
"41","8.375","8.375","8.375","8.375","8.375","8.375","8.375","8.375","8.375","8.1875","8.1875","8.1875","8.125","8.125","8.125","8.375","8.375","8.375","8.375","8.375","8.375","8.125","8.125","8.125","8.125","8.125","8.125","8.375","8.375","8.375"
"42","8.25","8.25","8.25","8.3125","8.3125","8.3125","8.25","8.25","8.25","8.125","8.125","8.125","8.125","8.125","8.125","8.25","8.25","8.25","8.3125","8.3125","8.3125","8.0625","8.0625","8.0625","8.125","8.125","8.125","8.25","8.25","8.25"
"43","8.25","8.25","8.25","8.25","8.25","8.25","8.25","8.25","8.25","8","8","8","8","8","8","8.25","8.25","8.25","8.25","8.25","8.25","8","8","8","8","8","8","8.25","8.25","8.25"
"44","8.1875","8.1875","8.1875","8.25","8.25","8.25","8.1875","8.1875","8.1875","8","8","8","8","8","8","8.1875","8.1875","8.1875","8.25","8.25","8.25","7.96875","7.96875","7.96875","8","8","8","8.1875","8.1875","8.1875"
"45","8.125","8.125","8.125","8.1875","8.1875","8.1875","8.1875","8.1875","8.1875","8","8","8","7.9375","7.9375","7.9375","8.125","8.125","8.125","8.1875","8.1875","8.1875","7.9375","7.9375","7.9375","7.96875","7.96875","7.96875","8.1875","8.1875","8.1875"
"46","8.0625","8.0625","8.0625","8.125","8.125","8.125","8.125","8.125","8.125","7.9375","7.9375","7.9375","7.875","7.875","7.875","8.0625","8.0625","8.0625","8.125","8.125","8.125","7.875","7.875","7.875","7.875","7.875","7.875","8.125","8.125","8.125"
"47","8","8","8","8.0625","8.0625","8.0625","8.0625","8.0625","8.0625","7.875","7.875","7.875","7.8125","7.8125","7.8125","8","8","8","8.0625","8.0625","8.0625","7.8125","7.8125","7.8125","7.875","7.875","7.875","8.0625","8.0625","8.0625"
"48","8","8","8","8.0625","8.0625","8.0625","8","8","8","7.84375","7.84375","7.84375","7.75","7.75","7.75","8","8","8","8.0625","8.0625","8.0625","7.75","7.75","7.75","7.8125","7.8125","7.8125","8","8","8"
"49","8","8","8","8","8","8","8","8","8","7.8125","7.8125","7.8125","7.71875","7.71875","7.71875","8","8","8","8","8","8","7.71875","7.71875","7.71875","7.78125","7.78125","7.78125","8","8","8"
"50","7.9375","7.9375","7.9375","8","8","8","7.9375","7.9375","7.9375","7.75","7.75","7.75","7.65625","7.65625","7.65625","7.9375","7.9375","7.9375","8","8","8","7.65625","7.65625","7.65625","7.71875","7.71875","7.71875","7.9375","7.9375","7.9375"
"51","7.9375","7.9375","7.9375","8","8","8","7.9375","7.9375","7.9375","7.71875","7.71875","7.71875","7.65625","7.65625","7.65625","7.9375","7.9375","7.9375","7.9375","7.9375","7.9375","7.625","7.625","7.625","7.6875","7.6875","7.6875","7.9375","7.9375","7.9375"
"52","7.90625","7.90625","7.90625","7.9375","7.9375","7.9375","7.9375","7.9375","7.9375","7.6875","7.6875","7.6875","7.59375","7.59375","7.59375","7.90625","7.90625","7.90625","7.9375","7.9375","7.9375","7.59375","7.59375","7.59375","7.65625","7.65625","7.65625","7.9375","7.9375","7.9375"
"53","7.90625","7.90625","7.90625","7.9375","7.9375","7.9375","7.90625","7.90625","7.90625","7.65625","7.65625","7.65625","7.59375","7.59375","7.59375","7.875","7.875","7.875","7.9375","7.9375","7.9375","7.5625","7.5625","7.5625","7.59375","7.59375","7.59375","7.90625","7.90625","7.90625"
"54","7.90625","7.90625","7.90625","7.90625","7.90625","7.90625","7.90625","7.90625","7.90625","7.625","7.625","7.625","7.53125","7.53125","7.53125","7.90625","7.90625","7.90625","7.9375","7.9375","7.9375","7.53125","7.53125","7.53125","7.59375","7.59375","7.59375","7.90625","7.90625","7.90625"
"55","7.875","7.875","7.875","7.875","7.875","7.875","7.875","7.875","7.875","7.59375","7.59375","7.59375","7.46875","7.46875","7.46875","7.875","7.875","7.875","7.90625","7.90625","7.90625","7.46875","7.46875","7.46875","7.5625","7.5625","7.5625","7.875","7.875","7.875"
"56","7.875","7.875","7.875","7.875","7.875","7.875","7.875","7.875","7.875","7.59375","7.59375","7.59375","7.53125","7.53125","7.53125","7.875","7.875","7.875","7.90625","7.90625","7.90625","7.5","7.5","7.5","7.53125","7.53125","7.53125","7.875","7.875","7.875"
"57","7.84375","7.84375","7.84375","7.875","7.875","7.875","7.875","7.875","7.875","7.53125","7.53125","7.53125","7.46875","7.46875","7.46875","7.84375","7.84375","7.84375","7.875","7.875","7.875","7.4375","7.4375","7.4375","7.5","7.5","7.5","7.875","7.875","7.875"
"58","7.875","7.875","7.875","7.875","7.875","7.875","7.875","7.875","7.875","7.46875","7.46875","7.46875","7.4375","7.4375","7.4375","7.875","7.875","7.875","7.875","7.875","7.875","7.40625","7.40625","7.40625","7.46875","7.46875","7.46875","7.875","7.875","7.875"
"59","7.875","7.875","7.875","7.875","7.875","7.875","7.875","7.875","7.875","7.5","7.5","7.5","7.40625","7.40625","7.40625","7.875","7.875","7.875","7.90625","7.90625","7.90625","7.40625","7.40625","7.40625","7.46875","7.46875","7.46875","7.875","7.875","7.875"
"60","7.84375","7.84375","7.84375","7.875","7.875","7.875","7.84375","7.84375","7.84375","7.53125","7.53125","7.53125","7.375","7.375","7.375","7.84375","7.84375","7.84375","7.875","7.875","7.875","7.375","7.375","7.375","7.46875","7.46875","7.46875","7.875","7.875","7.875"
"61","7.8125","7.8125","7.8125","7.84375","7.84375","7.84375","7.8125","7.8125","7.8125","7.4375","7.4375","7.4375","7.34375","7.34375","7.34375","7.8125","7.8125","7.8125","7.84375","7.84375","7.84375","7.34375","7.34375","7.34375","7.40625","7.40625","7.40625","7.84375","7.84375","7.84375"
"62","7.78125","7.78125","7.78125","7.8125","7.8125","7.8125","7.78125","7.78125","7.78125","7.40625","7.40625","7.40625","7.25","7.25","7.25","7.78125","7.78125","7.78125","7.875","7.875","7.875","7.25","7.25","7.25","7.375","7.375","7.375","7.8125","7.8125","7.8125"
"63","7.78125","7.78125","7.78125","7.8125","7.8125","7.8125","7.78125","7.78125","7.78125","7.34375","7.34375","7.34375","7.28125","7.28125","7.28125","7.78125","7.78125","7.78125","7.875","7.875","7.875","7.28125","7.28125","7.28125","7.34375","7.34375","7.34375","7.78125","7.78125","7.78125"
"64","7.78125","7.78125","7.78125","7.8125","7.8125","7.8125","7.75","7.75","7.75","7.34375","7.34375","7.34375","7.25","7.25","7.25","7.78125","7.78125","7.78125","7.875","7.875","7.875","7.25","7.25","7.25","7.34375","7.34375","7.34375","7.8125","7.8125","7.8125"
"65","7.8125","7.8125","7.8125","7.84375","7.84375","7.84375","7.8125","7.8125","7.8125","7.375","7.375","7.375","7.25","7.25","7.25","7.8125","7.8125","7.8125","7.90625","7.90625","7.90625","7.3125","7.3125","7.3125","7.34375","7.34375","7.34375","7.84375","7.84375","7.84375"
"66","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.34375","7.34375","7.34375","7.1875","7.1875","7.1875","7.8125","7.8125","7.8125","7.875","7.875","7.875","7.25","7.25","7.25","7.3125","7.3125","7.3125","7.875","7.875","7.875"
"67","7.75","7.75","7.75","7.75","7.75","7.75","7.75","7.75","7.75","7.25","7.25","7.25","7.1875","7.1875","7.1875","7.75","7.75","7.75","7.875","7.875","7.875","7.1875","7.1875","7.1875","7.25","7.25","7.25","7.8125","7.8125","7.8125"
