"Step","default vector 8c1 ema 9e-4 - train/lm_loss","default vector 8c1 ema 9e-4 - train/lm_loss__MIN","default vector 8c1 ema 9e-4 - train/lm_loss__MAX","default vector 8c1 ema 7e-4 - train/lm_loss","default vector 8c1 ema 7e-4 - train/lm_loss__MIN","default vector 8c1 ema 7e-4 - train/lm_loss__MAX","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss__MIN","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss__MAX","baseline 8c1 9e-4 - train/lm_loss","baseline 8c1 9e-4 - train/lm_loss__MIN","baseline 8c1 9e-4 - train/lm_loss__MAX","baseline 8c1 7e-4 - train/lm_loss","baseline 8c1 7e-4 - train/lm_loss__MIN","baseline 8c1 7e-4 - train/lm_loss__MAX","baseline 8c1 5e-4 - train/lm_loss","baseline 8c1 5e-4 - train/lm_loss__MIN","baseline 8c1 5e-4 - train/lm_loss__MAX","default vector 8c1 ema zero init - train/lm_loss","default vector 8c1 ema zero init - train/lm_loss__MIN","default vector 8c1 ema zero init - train/lm_loss__MAX","baseline 8c1 - train/lm_loss","baseline 8c1 - train/lm_loss__MIN","baseline 8c1 - train/lm_loss__MAX"
"2510","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2511","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.3125","3.3125","3.3125","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.3125","3.3125","3.3125"
"2512","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2513","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2514","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2515","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875","3.328125","3.328125","3.328125"
"2516","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.34375","3.34375","3.34375","3.203125","3.203125","3.203125","3.265625","3.265625","3.265625","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2517","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2518","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2519","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.3125","3.3125","3.3125","3.203125","3.203125","3.203125","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2520","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.21875","3.21875","3.21875","3.296875","3.296875","3.296875","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.265625","3.265625","3.265625"
"2521","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2522","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2523","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625","3.34375","3.34375","3.34375","3.25","3.25","3.25","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125","3.328125","3.328125","3.328125"
"2524","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2525","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2526","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.3125","3.3125","3.3125"
"2527","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2528","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2529","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2530","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.34375","3.34375","3.34375","3.203125","3.203125","3.203125","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2531","3.203125","3.203125","3.203125","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.203125","3.203125","3.203125","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2532","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2533","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625"
"2534","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.265625","3.265625","3.265625","3.359375","3.359375","3.359375","3.21875","3.21875","3.21875","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.328125","3.328125","3.328125"
"2535","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2536","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.34375","3.34375","3.34375","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.28125","3.28125","3.28125"
"2537","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2538","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2539","3.265625","3.265625","3.265625","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.375","3.375","3.375","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.3125","3.3125","3.3125","3.359375","3.359375","3.359375"
"2540","3.203125","3.203125","3.203125","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.1875","3.1875","3.1875","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2541","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.296875","3.296875","3.296875","3.328125","3.328125","3.328125"
"2542","3.265625","3.265625","3.265625","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2543","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2544","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.3125","3.3125","3.3125","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2545","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2546","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2547","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.34375","3.34375","3.34375","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.328125","3.328125","3.328125"
"2548","3.25","3.25","3.25","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.34375","3.34375","3.34375","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.328125","3.328125","3.328125"
"2549","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.3125","3.3125","3.3125"
"2550","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2551","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2552","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2553","3.234375","3.234375","3.234375","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.3125","3.3125","3.3125","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.3125","3.3125","3.3125"
"2554","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2555","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.34375","3.34375","3.34375","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2556","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2557","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.3125","3.3125","3.3125","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2558","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.3125","3.3125","3.3125"
"2559","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2560","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2561","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2562","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.28125","3.28125","3.28125"
"2563","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.359375","3.359375","3.359375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.328125","3.328125","3.328125","3.328125","3.328125","3.328125"
"2564","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.28125","3.28125","3.28125"
"2565","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.21875","3.21875","3.21875","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2566","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2567","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.25","3.25","3.25","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2568","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2569","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625","3.359375","3.359375","3.359375","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.328125","3.328125","3.328125"
"2570","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2571","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.21875","3.21875","3.21875","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2572","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2573","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.3125","3.3125","3.3125","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.28125","3.28125","3.28125"
"2574","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2575","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2576","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.359375","3.359375","3.359375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.3125","3.3125","3.3125"
"2577","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2578","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.34375","3.34375","3.34375","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.3125","3.3125","3.3125"
"2579","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2580","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2581","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2582","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2583","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2584","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.328125","3.328125","3.328125"
"2585","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2586","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.3125","3.3125","3.3125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2587","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.203125","3.203125","3.203125","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2588","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.203125","3.203125","3.203125","3.25","3.25","3.25","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2589","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2590","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.3125","3.3125","3.3125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2591","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2592","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2593","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625"
"2594","3.21875","3.21875","3.21875","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2595","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2596","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.296875","3.296875","3.296875"
"2597","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625"
"2598","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.3125","3.3125","3.3125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2599","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.34375","3.34375","3.34375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2600","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.3125","3.3125","3.3125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2601","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2602","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.3125","3.3125","3.3125","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2603","3.25","3.25","3.25","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.34375","3.34375","3.34375","3.25","3.25","3.25","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.328125","3.328125","3.328125"
"2604","3.203125","3.203125","3.203125","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.34375","3.34375","3.34375","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.3125","3.3125","3.3125"
"2605","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.3125","3.3125","3.3125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2606","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.21875","3.21875","3.21875","3.296875","3.296875","3.296875","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.265625","3.265625","3.265625"
"2607","3.1875","3.1875","3.1875","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875"
"2608","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.359375","3.359375","3.359375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2609","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.265625","3.265625","3.265625","3.359375","3.359375","3.359375","3.21875","3.21875","3.21875","3.265625","3.265625","3.265625","3.3125","3.3125","3.3125","3.328125","3.328125","3.328125"
"2610","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2611","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.296875","3.296875","3.296875","3.3125","3.3125","3.3125"
"2612","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2613","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.3125","3.3125","3.3125","3.21875","3.21875","3.21875","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2614","3.203125","3.203125","3.203125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.328125","3.328125","3.328125","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.28125","3.28125","3.28125"
"2615","3.21875","3.21875","3.21875","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.21875","3.21875","3.21875","3.234375","3.234375","3.234375","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
"2616","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.296875","3.296875","3.296875","3.203125","3.203125","3.203125","3.234375","3.234375","3.234375","3.265625","3.265625","3.265625","3.265625","3.265625","3.265625"
"2617","3.234375","3.234375","3.234375","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.328125","3.328125","3.328125","3.234375","3.234375","3.234375","3.25","3.25","3.25","3.28125","3.28125","3.28125","3.296875","3.296875","3.296875"
