"Step","default vector 8c1 ema 9e-4 - train/lm_loss","default vector 8c1 ema 9e-4 - train/lm_loss__MIN","default vector 8c1 ema 9e-4 - train/lm_loss__MAX","default vector 8c1 ema 7e-4 - train/lm_loss","default vector 8c1 ema 7e-4 - train/lm_loss__MIN","default vector 8c1 ema 7e-4 - train/lm_loss__MAX","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss__MIN","expert approx 8c1 no experts 8c1 5e-4 - train/lm_loss__MAX","baseline 8c1 9e-4 - train/lm_loss","baseline 8c1 9e-4 - train/lm_loss__MIN","baseline 8c1 9e-4 - train/lm_loss__MAX","baseline 8c1 7e-4 - train/lm_loss","baseline 8c1 7e-4 - train/lm_loss__MIN","baseline 8c1 7e-4 - train/lm_loss__MAX","baseline 8c1 5e-4 - train/lm_loss","baseline 8c1 5e-4 - train/lm_loss__MIN","baseline 8c1 5e-4 - train/lm_loss__MAX","default vector 8c1 ema zero init - train/lm_loss","default vector 8c1 ema zero init - train/lm_loss__MIN","default vector 8c1 ema zero init - train/lm_loss__MAX","baseline 8c1 - train/lm_loss","baseline 8c1 - train/lm_loss__MIN","baseline 8c1 - train/lm_loss__MAX"
"36","7.8125","7.8125","7.8125","7.875","7.875","7.875","8","8","8","8","8","8","7.9375","7.9375","7.9375","8","8","8","8.5625","8.5625","8.5625","8.5625","8.5625","8.5625"
"37","7.9375","7.9375","7.9375","7.8125","7.8125","7.8125","7.9375","7.9375","7.9375","7.875","7.875","7.875","7.84375","7.84375","7.84375","7.96875","7.96875","7.96875","8.4375","8.4375","8.4375","8.5","8.5","8.5"
"38","7.875","7.875","7.875","7.875","7.875","7.875","8","8","8","7.9375","7.9375","7.9375","7.875","7.875","7.875","7.9375","7.9375","7.9375","8.375","8.375","8.375","8.375","8.375","8.375"
"39","7.875","7.875","7.875","7.84375","7.84375","7.84375","7.875","7.875","7.875","7.9375","7.9375","7.9375","7.84375","7.84375","7.84375","7.875","7.875","7.875","8.25","8.25","8.25","8.25","8.25","8.25"
"40","7.875","7.875","7.875","7.8125","7.8125","7.8125","8.0625","8.0625","8.0625","7.90625","7.90625","7.90625","7.84375","7.84375","7.84375","7.84375","7.84375","7.84375","8.25","8.25","8.25","8.25","8.25","8.25"
"41","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","7.875","7.875","7.875","7.875","7.875","7.875","7.8125","7.8125","7.8125","7.8125","7.8125","7.8125","8.1875","8.1875","8.1875","8.125","8.125","8.125"
"42","7.75","7.75","7.75","7.75","7.75","7.75","7.8125","7.8125","7.8125","7.875","7.875","7.875","7.8125","7.8125","7.8125","7.75","7.75","7.75","8.125","8.125","8.125","8.125","8.125","8.125"
"43","7.71875","7.71875","7.71875","7.75","7.75","7.75","7.75","7.75","7.75","12.25","12.25","12.25","7.75","7.75","7.75","7.75","7.75","7.75","8","8","8","8","8","8"
"44","7.71875","7.71875","7.71875","7.75","7.75","7.75","7.8125","7.8125","7.8125","7.875","7.875","7.875","7.8125","7.8125","7.8125","7.75","7.75","7.75","8","8","8","8","8","8"
"45","7.6875","7.6875","7.6875","7.75","7.75","7.75","7.75","7.75","7.75","7.875","7.875","7.875","7.75","7.75","7.75","7.75","7.75","7.75","8","8","8","7.96875","7.96875","7.96875"
"46","7.65625","7.65625","7.65625","7.71875","7.71875","7.71875","7.75","7.75","7.75","7.875","7.875","7.875","7.75","7.75","7.75","7.71875","7.71875","7.71875","7.9375","7.9375","7.9375","7.875","7.875","7.875"
"47","7.65625","7.65625","7.65625","7.65625","7.65625","7.65625","7.75","7.75","7.75","7.875","7.875","7.875","7.78125","7.78125","7.78125","7.6875","7.6875","7.6875","7.875","7.875","7.875","7.875","7.875","7.875"
"48","7.65625","7.65625","7.65625","7.65625","7.65625","7.65625","7.71875","7.71875","7.71875","7.875","7.875","7.875","7.71875","7.71875","7.71875","8.375","8.375","8.375","7.84375","7.84375","7.84375","7.8125","7.8125","7.8125"
"49","7.625","7.625","7.625","7.625","7.625","7.625","7.71875","7.71875","7.71875","7.875","7.875","7.875","7.78125","7.78125","7.78125","7.71875","7.71875","7.71875","7.8125","7.8125","7.8125","7.78125","7.78125","7.78125"
"50","7.59375","7.59375","7.59375","7.59375","7.59375","7.59375","7.71875","7.71875","7.71875","7.84375","7.84375","7.84375","7.71875","7.71875","7.71875","7.75","7.75","7.75","7.75","7.75","7.75","7.71875","7.71875","7.71875"
"51","7.59375","7.59375","7.59375","7.59375","7.59375","7.59375","7.6875","7.6875","7.6875","7.875","7.875","7.875","7.6875","7.6875","7.6875","7.71875","7.71875","7.71875","7.71875","7.71875","7.71875","7.6875","7.6875","7.6875"
"52","7.59375","7.59375","7.59375","7.59375","7.59375","7.59375","7.6875","7.6875","7.6875","7.9375","7.9375","7.9375","7.6875","7.6875","7.6875","7.6875","7.6875","7.6875","7.6875","7.6875","7.6875","7.65625","7.65625","7.65625"
"53","7.59375","7.59375","7.59375","7.59375","7.59375","7.59375","7.65625","7.65625","7.65625","7.875","7.875","7.875","7.65625","7.65625","7.65625","7.65625","7.65625","7.65625","7.65625","7.65625","7.65625","7.59375","7.59375","7.59375"
"54","7.5625","7.5625","7.5625","7.59375","7.59375","7.59375","7.65625","7.65625","7.65625","7.875","7.875","7.875","7.65625","7.65625","7.65625","7.65625","7.65625","7.65625","7.625","7.625","7.625","7.59375","7.59375","7.59375"
"55","7.53125","7.53125","7.53125","7.5625","7.5625","7.5625","7.59375","7.59375","7.59375","7.84375","7.84375","7.84375","7.65625","7.65625","7.65625","7.65625","7.65625","7.65625","7.59375","7.59375","7.59375","7.5625","7.5625","7.5625"
"56","7.53125","7.53125","7.53125","7.53125","7.53125","7.53125","7.59375","7.59375","7.59375","7.875","7.875","7.875","7.65625","7.65625","7.65625","7.65625","7.65625","7.65625","7.59375","7.59375","7.59375","7.53125","7.53125","7.53125"
"57","7.5","7.5","7.5","7.5","7.5","7.5","7.59375","7.59375","7.59375","9.0625","9.0625","9.0625","7.65625","7.65625","7.65625","7.59375","7.59375","7.59375","7.53125","7.53125","7.53125","7.5","7.5","7.5"
"58","7.46875","7.46875","7.46875","7.46875","7.46875","7.46875","7.5625","7.5625","7.5625","7.875","7.875","7.875","7.625","7.625","7.625","7.59375","7.59375","7.59375","7.46875","7.46875","7.46875","7.46875","7.46875","7.46875"
"59","7.40625","7.40625","7.40625","7.46875","7.46875","7.46875","7.59375","7.59375","7.59375","7.90625","7.90625","7.90625","7.625","7.625","7.625","7.59375","7.59375","7.59375","7.5","7.5","7.5","7.46875","7.46875","7.46875"
"60","7.4375","7.4375","7.4375","7.46875","7.46875","7.46875","7.53125","7.53125","7.53125","7.875","7.875","7.875","7.59375","7.59375","7.59375","7.59375","7.59375","7.59375","7.53125","7.53125","7.53125","7.46875","7.46875","7.46875"
"61","7.40625","7.40625","7.40625","7.40625","7.40625","7.40625","7.53125","7.53125","7.53125","7.875","7.875","7.875","7.59375","7.59375","7.59375","7.5625","7.5625","7.5625","7.4375","7.4375","7.4375","7.40625","7.40625","7.40625"
"62","7.40625","7.40625","7.40625","7.40625","7.40625","7.40625","7.46875","7.46875","7.46875","7.875","7.875","7.875","7.5625","7.5625","7.5625","7.53125","7.53125","7.53125","7.40625","7.40625","7.40625","7.375","7.375","7.375"
"63","7.34375","7.34375","7.34375","7.34375","7.34375","7.34375","7.46875","7.46875","7.46875","7.875","7.875","7.875","7.53125","7.53125","7.53125","7.46875","7.46875","7.46875","7.34375","7.34375","7.34375","7.34375","7.34375","7.34375"
"64","7.34375","7.34375","7.34375","7.375","7.375","7.375","7.4375","7.4375","7.4375","7.875","7.875","7.875","7.59375","7.59375","7.59375","7.53125","7.53125","7.53125","7.34375","7.34375","7.34375","7.34375","7.34375","7.34375"
"65","7.40625","7.40625","7.40625","7.40625","7.40625","7.40625","7.46875","7.46875","7.46875","7.90625","7.90625","7.90625","7.59375","7.59375","7.59375","7.5","7.5","7.5","7.375","7.375","7.375","7.34375","7.34375","7.34375"
"66","7.34375","7.34375","7.34375","7.34375","7.34375","7.34375","7.40625","7.40625","7.40625","7.875","7.875","7.875","7.5625","7.5625","7.5625","7.46875","7.46875","7.46875","7.34375","7.34375","7.34375","7.3125","7.3125","7.3125"
"67","7.34375","7.34375","7.34375","7.34375","7.34375","7.34375","7.40625","7.40625","7.40625","7.875","7.875","7.875","7.53125","7.53125","7.53125","7.5","7.5","7.5","7.25","7.25","7.25","7.25","7.25","7.25"
"68","7.34375","7.34375","7.34375","7.28125","7.28125","7.28125","7.34375","7.34375","7.34375","7.875","7.875","7.875","7.5","7.5","7.5","7.5","7.5","7.5","7.25","7.25","7.25","7.21875","7.21875","7.21875"
"69","7.34375","7.34375","7.34375","7.25","7.25","7.25","7.34375","7.34375","7.34375","7.9375","7.9375","7.9375","7.5","7.5","7.5","7.5","7.5","7.5","7.1875","7.1875","7.1875","7.1875","7.1875","7.1875"
"70","7.25","7.25","7.25","7.25","7.25","7.25","7.34375","7.34375","7.34375","7.84375","7.84375","7.84375","7.5","7.5","7.5","7.46875","7.46875","7.46875","7.15625","7.15625","7.15625","7.125","7.125","7.125"
"71","7.28125","7.28125","7.28125","7.28125","7.28125","7.28125","7.28125","7.28125","7.28125","7.875","7.875","7.875","7.46875","7.46875","7.46875","7.46875","7.46875","7.46875","7.125","7.125","7.125","7.125","7.125","7.125"
"72","7.28125","7.28125","7.28125","7.28125","7.28125","7.28125","7.28125","7.28125","7.28125","7.875","7.875","7.875","7.46875","7.46875","7.46875","7.46875","7.46875","7.46875","7.125","7.125","7.125","7.125","7.125","7.125"
"73","7.25","7.25","7.25","7.25","7.25","7.25","7.25","7.25","7.25","7.875","7.875","7.875","7.46875","7.46875","7.46875","7.40625","7.40625","7.40625","7.125","7.125","7.125","7.0625","7.0625","7.0625"
"74","7.25","7.25","7.25","7.25","7.25","7.25","7.25","7.25","7.25","7.875","7.875","7.875","7.5","7.5","7.5","7.4375","7.4375","7.4375","7.0625","7.0625","7.0625","7.0625","7.0625","7.0625"
"75","7.25","7.25","7.25","7.1875","7.1875","7.1875","7.1875","7.1875","7.1875","7.875","7.875","7.875","7.46875","7.46875","7.46875","7.40625","7.40625","7.40625","7.03125","7.03125","7.03125","7","7","7"
"76","7.25","7.25","7.25","7.25","7.25","7.25","7.1875","7.1875","7.1875","7.875","7.875","7.875","7.40625","7.40625","7.40625","7.40625","7.40625","7.40625","7.03125","7.03125","7.03125","7","7","7"
"77","7.21875","7.21875","7.21875","7.1875","7.1875","7.1875","7.125","7.125","7.125","7.875","7.875","7.875","7.40625","7.40625","7.40625","7.34375","7.34375","7.34375","7","7","7","7","7","7"
"78","7.1875","7.1875","7.1875","7.1875","7.1875","7.1875","7.1875","7.1875","7.1875","7.90625","7.90625","7.90625","7.40625","7.40625","7.40625","7.40625","7.40625","7.40625","7","7","7","7","7","7"
"79","7.25","7.25","7.25","7.1875","7.1875","7.1875","7.125","7.125","7.125","7.875","7.875","7.875","7.34375","7.34375","7.34375","7.34375","7.34375","7.34375","6.9375","6.9375","6.9375","6.9375","6.9375","6.9375"
"80","7.25","7.25","7.25","7.15625","7.15625","7.15625","7.09375","7.09375","7.09375","7.875","7.875","7.875","7.40625","7.40625","7.40625","7.3125","7.3125","7.3125","6.9375","6.9375","6.9375","6.90625","6.90625","6.90625"
"81","7.1875","7.1875","7.1875","7.125","7.125","7.125","7.0625","7.0625","7.0625","7.875","7.875","7.875","7.34375","7.34375","7.34375","7.34375","7.34375","7.34375","6.9375","6.9375","6.9375","6.875","6.875","6.875"
"82","7.15625","7.15625","7.15625","7.0625","7.0625","7.0625","7.03125","7.03125","7.03125","7.875","7.875","7.875","7.3125","7.3125","7.3125","7.25","7.25","7.25","6.875","6.875","6.875","6.8125","6.8125","6.8125"
"83","7.15625","7.15625","7.15625","7.0625","7.0625","7.0625","7.0625","7.0625","7.0625","7.875","7.875","7.875","7.34375","7.34375","7.34375","7.34375","7.34375","7.34375","6.875","6.875","6.875","6.875","6.875","6.875"
"84","7.125","7.125","7.125","7.03125","7.03125","7.03125","7","7","7","7.875","7.875","7.875","7.3125","7.3125","7.3125","7.28125","7.28125","7.28125","6.8125","6.8125","6.8125","6.8125","6.8125","6.8125"
"85","7.125","7.125","7.125","7","7","7","7","7","7","7.875","7.875","7.875","7.25","7.25","7.25","7.21875","7.21875","7.21875","6.8125","6.8125","6.8125","6.8125","6.8125","6.8125"
"86","7.125","7.125","7.125","7","7","7","7","7","7","7.9375","7.9375","7.9375","7.28125","7.28125","7.28125","7.1875","7.1875","7.1875","6.8125","6.8125","6.8125","6.75","6.75","6.75"
"87","7.375","7.375","7.375","7.0625","7.0625","7.0625","6.96875","6.96875","6.96875","7.875","7.875","7.875","7.25","7.25","7.25","7.1875","7.1875","7.1875","6.75","6.75","6.75","6.75","6.75","6.75"
"88","7.28125","7.28125","7.28125","7.03125","7.03125","7.03125","6.9375","6.9375","6.9375","7.84375","7.84375","7.84375","7.28125","7.28125","7.28125","7.15625","7.15625","7.15625","6.75","6.75","6.75","6.75","6.75","6.75"
"89","7.1875","7.1875","7.1875","7.03125","7.03125","7.03125","6.9375","6.9375","6.9375","7.90625","7.90625","7.90625","7.1875","7.1875","7.1875","7.15625","7.15625","7.15625","6.71875","6.71875","6.71875","6.65625","6.65625","6.65625"
"90","7.125","7.125","7.125","7","7","7","6.875","6.875","6.875","7.875","7.875","7.875","7.1875","7.1875","7.1875","7.125","7.125","7.125","6.71875","6.71875","6.71875","6.65625","6.65625","6.65625"
"91","7.1875","7.1875","7.1875","7","7","7","6.875","6.875","6.875","7.875","7.875","7.875","7.1875","7.1875","7.1875","7.125","7.125","7.125","6.71875","6.71875","6.71875","6.65625","6.65625","6.65625"
"92","7.1875","7.1875","7.1875","6.96875","6.96875","6.96875","6.875","6.875","6.875","7.875","7.875","7.875","7.125","7.125","7.125","7.0625","7.0625","7.0625","6.65625","6.65625","6.65625","6.625","6.625","6.625"
"93","7.125","7.125","7.125","6.9375","6.9375","6.9375","6.84375","6.84375","6.84375","7.875","7.875","7.875","7.125","7.125","7.125","7.0625","7.0625","7.0625","6.65625","6.65625","6.65625","6.59375","6.59375","6.59375"
"94","7.125","7.125","7.125","6.9375","6.9375","6.9375","6.84375","6.84375","6.84375","7.875","7.875","7.875","7.125","7.125","7.125","7.09375","7.09375","7.09375","6.625","6.625","6.625","6.59375","6.59375","6.59375"
"95","7.125","7.125","7.125","6.875","6.875","6.875","6.8125","6.8125","6.8125","7.875","7.875","7.875","7.09375","7.09375","7.09375","7.0625","7.0625","7.0625","6.65625","6.65625","6.65625","6.5625","6.5625","6.5625"
"96","7.125","7.125","7.125","6.9375","6.9375","6.9375","6.84375","6.84375","6.84375","7.875","7.875","7.875","7.125","7.125","7.125","7.0625","7.0625","7.0625","6.59375","6.59375","6.59375","6.53125","6.53125","6.53125"
"97","7.0625","7.0625","7.0625","6.875","6.875","6.875","6.78125","6.78125","6.78125","7.875","7.875","7.875","7.09375","7.09375","7.09375","7","7","7","6.5625","6.5625","6.5625","6.53125","6.53125","6.53125"
"98","7.0625","7.0625","7.0625","6.875","6.875","6.875","6.75","6.75","6.75","7.875","7.875","7.875","7.0625","7.0625","7.0625","7","7","7","6.53125","6.53125","6.53125","6.5","6.5","6.5"
"99","7.0625","7.0625","7.0625","6.875","6.875","6.875","6.75","6.75","6.75","7.9375","7.9375","7.9375","7.0625","7.0625","7.0625","7","7","7","6.53125","6.53125","6.53125","6.5","6.5","6.5"
